,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
10380,2004-06,Pennsylvania,366.0,,0.0,32034.0,,106,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,32506
10381,2004-06,Puerto Rico,0.0,,456.0,88.0,,16,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,560
10382,2004-06,Rhode Island,0.0,,356.0,293.0,,84,0.0,0.0,0.0,,1.0,1.0,,,,,,,,,,,,,735
10383,2004-06,South Carolina,861.0,,2602.0,2528.0,,107,0.0,5.0,4.0,,421.0,564.0,,,,,,,,,,,,,7092
10384,2004-06,South Dakota,0.0,,626.0,1894.0,,49,0.0,3.0,4.0,,69.0,234.0,,,,,,,,,,,,,2879
10385,2004-06,Tennessee,1531.0,,5900.0,5731.0,,225,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,13387
10386,2004-06,Texas,6682.0,,10691.0,16034.0,,851,4.0,41.0,34.0,,2750.0,4411.0,,,,,,,,,,,,,41498
10387,2004-06,Utah,1175.0,,1330.0,2475.0,,88,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,5068
10388,2004-06,Vermont,0.0,,401.0,624.0,,12,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,1037
10389,2004-06,Virgin Islands,0.0,,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0
10390,2004-06,Virginia,0.0,,5100.0,6506.0,,158,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,11764
10391,2004-06,Washington,3034.0,,4225.0,5409.0,,231,25.0,5.0,14.0,,692.0,1009.0,,,,,,,,,,,,,14644
10392,2004-06,West Virginia,0.0,,1928.0,2984.0,,188,0.0,3.0,4.0,,526.0,1541.0,,,,,,,,,,,,,7174
10393,2004-06,Wisconsin,0.0,,2546.0,6327.0,,2,0.0,0.0,1.0,,1.0,178.0,,,,,,,,,,,,,9055
10394,2004-06,Wyoming,185.0,,659.0,1263.0,,41,0.0,0.0,1.0,,112.0,283.0,,,,,,,,,,,,,2544
10395,2004-05,Alabama,0.0,,4731.0,4614.0,,256,0.0,43.0,62.0,,1120.0,1304.0,,,,,,,,,,,,,12130
10396,2004-05,Alaska,0.0,,1046.0,1693.0,,69,0.0,2.0,7.0,,150.0,185.0,,,,,,,,,,,,,3152
10397,2004-05,Arizona,1473.0,,4359.0,4044.0,,209,0.0,9.0,12.0,,657.0,482.0,,,,,,,,,,,,,11245
10398,2004-05,Arkansas,650.0,,2103.0,3267.0,,164,0.0,14.0,24.0,,518.0,1310.0,,,,,,,,,,,,,8050
10399,2004-05,California,13000.0,,13517.0,15906.0,,0,11.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,42434
10400,2004-05,Colorado,799.0,,5173.0,6188.0,,361,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,12521
10401,2004-05,Connecticut,4164.0,,1191.0,1092.0,,86,532.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,7065
10402,2004-05,Delaware,0.0,,356.0,520.0,,9,0.0,0.0,0.0,,2.0,2.0,,,,,,,,,,,,,889
10403,2004-05,District of Columbia,0.0,,2.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,2
10404,2004-05,Florida,0.0,,10806.0,8582.0,,424,0.0,19.0,8.0,,455.0,393.0,,,,,,,,,,,,,20687
10405,2004-05,Georgia,2542.0,,4748.0,5282.0,,180,88.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,12840
10406,2004-05,Guam,0.0,,6.0,12.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,18
10407,2004-05,Hawaii,546.0,,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,546
10408,2004-05,Idaho,987.0,,1025.0,2599.0,,80,0.0,4.0,1.0,,218.0,597.0,,,,,,,,,,,,,5511
10409,2004-05,Illinois,26440.0,,3960.0,5238.0,,176,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,35814
10410,2004-05,Indiana,0.0,,4384.0,4961.0,,128,0.0,1.0,4.0,,2.0,392.0,,,,,,,,,,,,,9872
10411,2004-05,Iowa,2933.0,,18.0,1706.0,,1,20.0,0.0,4.0,,2.0,125.0,,,,,,,,,,,,,4809
10412,2004-05,Kansas,0.0,,1494.0,2750.0,,121,0.0,2.0,2.0,,219.0,407.0,,,,,,,,,,,,,4995
10413,2004-05,Kentucky,0.0,,4460.0,5243.0,,319,0.0,10.0,18.0,,901.0,1434.0,,,,,,,,,,,,,12385
10414,2004-05,Louisiana,0.0,,3506.0,3521.0,,185,0.0,1.0,5.0,,674.0,901.0,,,,,,,,,,,,,8793
10415,2004-05,Maine,0.0,,930.0,1746.0,,97,0.0,13.0,40.0,,29.0,124.0,,,,,,,,,,,,,2979
10416,2004-05,Mariana Islands,0.0,,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0
10417,2004-05,Maryland,1687.0,,64.0,2223.0,,8,0.0,2.0,2.0,,30.0,82.0,,,,,,,,,,,,,4098
10418,2004-05,Massachusetts,3366.0,,1508.0,1018.0,,43,1831.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,7766
10419,2004-05,Michigan,10403.0,,2797.0,9153.0,,61,0.0,0.0,19.0,,0.0,203.0,,,,,,,,,,,,,22636
10420,2004-05,Minnesota,4193.0,,3267.0,6544.0,,108,0.0,1.0,2.0,,69.0,454.0,,,,,,,,,,,,,14638
10421,2004-05,Mississippi,0.0,,2816.0,3030.0,,186,0.0,48.0,81.0,,760.0,1183.0,,,,,,,,,,,,,8104
10422,2004-05,Missouri,0.0,,3406.0,6650.0,,107,0.0,1.0,11.0,,168.0,1093.0,,,,,,,,,,,,,11436
10423,2004-05,Montana,449.0,,1352.0,3197.0,,126,3.0,2.0,20.0,,285.0,815.0,,,,,,,,,,,,,6249
10424,2004-05,Nebraska,1055.0,,12.0,1382.0,,2,0.0,0.0,3.0,,0.0,86.0,,,,,,,,,,,,,2540
10425,2004-05,Nevada,0.0,,1840.0,1956.0,,100,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,3896
10426,2004-05,New Hampshire,1262.0,,989.0,1530.0,,15,0.0,0.0,0.0,,0.0,1.0,,,,,,,,,,,,,3797
10427,2004-05,New Jersey,0.0,,1235.0,1207.0,,40,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,2482
10428,2004-05,New Mexico,0.0,,1852.0,2245.0,,121,0.0,3.0,2.0,,362.0,679.0,,,,,,,,,,,,,5264
10429,2004-05,New York,2099.0,,763.0,5709.0,,5,261.0,93.0,0.0,,0.0,8.0,,,,,,,,,,,,,8938
10430,2004-05,North Carolina,6490.0,,137.0,6345.0,,89,0.0,21.0,35.0,,900.0,1505.0,,,,,,,,,,,,,15522
10431,2004-05,North Dakota,233.0,,355.0,1478.0,,18,0.0,0.0,2.0,,25.0,145.0,,,,,,,,,,,,,2256
10432,2004-05,Ohio,0.0,,9791.0,9052.0,,389,0.0,12.0,63.0,,449.0,720.0,,,,,,,,,,,,,20476
10433,2004-05,Oklahoma,0.0,,3422.0,4344.0,,250,0.0,9.0,16.0,,732.0,1451.0,,,,,,,,,,,,,10224
